,0,1
0,(4.22455195803e-05+0j),(1945400000+0j)
1,(5.03376577399e-05+0j),(1945402441.41+0j)
2,(2.07698012673e-05+0j),(1945404882.81+0j)
3,(2.49832974077e-05+0j),(1945407324.22+0j)
4,(3.8673497329e-05+0j),(1945409765.62+0j)
5,(2.4656244932e-05+0j),(1945412207.03+0j)
6,(2.53691177932e-05+0j),(1945414648.44+0j)
7,(3.35796721629e-05+0j),(1945417089.84+0j)
8,(2.30770019698e-05+0j),(1945419531.25+0j)
9,(6.32753362879e-05+0j),(1945421972.66+0j)
10,(6.44004976493e-05+0j),(1945424414.06+0j)
11,(4.31352418673e-05+0j),(1945426855.47+0j)
12,(3.72127251467e-05+0j),(1945429296.88+0j)
13,(2.56193961832e-05+0j),(1945431738.28+0j)
14,(2.93528755719e-05+0j),(1945434179.69+0j)
15,(2.88749160973e-05+0j),(1945436621.09+0j)
16,(4.67717873107e-05+0j),(1945439062.5+0j)
17,(3.10786927002e-05+0j),(1945441503.91+0j)
18,(4.42529417342e-05+0j),(1945443945.31+0j)
19,(2.9375689337e-05+0j),(1945446386.72+0j)
20,(2.55011109402e-05+0j),(1945448828.12+0j)
21,(4.33808636444e-05+0j),(1945451269.53+0j)
22,(1.80743427336e-05+0j),(1945453710.94+0j)
23,(4.82958857901e-05+0j),(1945456152.34+0j)
24,(3.95414499508e-05+0j),(1945458593.75+0j)
25,(3.26333793055e-05+0j),(1945461035.16+0j)
26,(3.02529479086e-05+0j),(1945463476.56+0j)
27,(2.87818838842e-05+0j),(1945465917.97+0j)
28,(3.92416077375e-05+0j),(1945468359.38+0j)
29,(3.43297360814e-05+0j),(1945470800.78+0j)
30,(2.56212078966e-05+0j),(1945473242.19+0j)
31,(2.45052233367e-05+0j),(1945475683.59+0j)
32,(3.61506245099e-05+0j),(1945478125+0j)
33,(3.69617264369e-05+0j),(1945480566.41+0j)
34,(6.1513237597e-05+0j),(1945483007.81+0j)
35,(2.61148616119e-05+0j),(1945485449.22+0j)
36,(7.02013203409e-05+0j),(1945487890.62+0j)
37,(2.55890190601e-05+0j),(1945490332.03+0j)
38,(4.61597846879e-05+0j),(1945492773.44+0j)
39,(4.49856779596e-05+0j),(1945495214.84+0j)
40,(4.30141262768e-05+0j),(1945497656.25+0j)
41,(6.73732865835e-05+0j),(1945500097.66+0j)
42,(3.67992870451e-05+0j),(1945502539.06+0j)
43,(2.79030955426e-05+0j),(1945504980.47+0j)
44,(1.82201620191e-05+0j),(1945507421.88+0j)
45,(6.27978297416e-05+0j),(1945509863.28+0j)
46,(5.70079937461e-05+0j),(1945512304.69+0j)
47,(2.91383621516e-05+0j),(1945514746.09+0j)
48,(5.770185453e-05+0j),(1945517187.5+0j)
49,(1.8929133148e-05+0j),(1945519628.91+0j)
50,(3.27646484948e-05+0j),(1945522070.31+0j)
51,(2.64699174295e-05+0j),(1945524511.72+0j)
52,(5.38574640814e-05+0j),(1945526953.12+0j)
53,(3.62823266187e-05+0j),(1945529394.53+0j)
54,(5.78282706556e-05+0j),(1945531835.94+0j)
55,(3.51806811523e-05+0j),(1945534277.34+0j)
56,(2.30614859902e-05+0j),(1945536718.75+0j)
57,(5.77531172894e-05+0j),(1945539160.16+0j)
58,(5.57194543944e-05+0j),(1945541601.56+0j)
59,(1.36350117828e-05+0j),(1945544042.97+0j)
60,(4.18500494561e-05+0j),(1945546484.38+0j)
61,(4.08879604947e-05+0j),(1945548925.78+0j)
62,(4.42958698841e-05+0j),(1945551367.19+0j)
63,(6.01877327426e-05+0j),(1945553808.59+0j)
64,(4.19369789597e-05+0j),(1945556250+0j)
65,(1.44991181514e-05+0j),(1945558691.41+0j)
66,(6.87967039994e-05+0j),(1945561132.81+0j)
67,(4.51629966847e-05+0j),(1945563574.22+0j)
68,(4.44641409558e-05+0j),(1945566015.62+0j)
69,(3.98256161134e-05+0j),(1945568457.03+0j)
70,(1.45783060361e-05+0j),(1945570898.44+0j)
71,(4.61820054625e-05+0j),(1945573339.84+0j)
72,(4.12270310335e-05+0j),(1945575781.25+0j)
73,(6.24028762104e-05+0j),(1945578222.66+0j)
74,(5.56558225071e-05+0j),(1945580664.06+0j)
75,(1.65132059919e-05+0j),(1945583105.47+0j)
76,(3.89621127397e-05+0j),(1945585546.88+0j)
77,(3.80911769753e-05+0j),(1945587988.28+0j)
78,(4.18441195507e-05+0j),(1945590429.69+0j)
79,(3.2146970625e-05+0j),(1945592871.09+0j)
80,(3.08851776936e-05+0j),(1945595312.5+0j)
81,(7.84845469752e-05+0j),(1945597753.91+0j)
82,(3.07760819851e-05+0j),(1945600195.31+0j)
83,(5.0820344768e-05+0j),(1945602636.72+0j)
84,(3.13377422572e-05+0j),(1945605078.12+0j)
85,(4.1939329094e-05+0j),(1945607519.53+0j)
86,(1.84934142453e-05+0j),(1945609960.94+0j)
87,(4.91210594191e-05+0j),(1945612402.34+0j)
88,(2.62519588432e-05+0j),(1945614843.75+0j)
89,(6.27773770248e-05+0j),(1945617285.16+0j)
90,(3.86052815884e-05+0j),(1945619726.56+0j)
