,band,cntr_freq,samp_rate
0,UMTS 3G_B5,881.4,22.0
1,UMTS 3G_B6,879.9,7.0
2,UMTS 3G_B1,2121.233,19.667
3,UMTS 3G_B1,2139.9,19.667
4,UMTS 3G_B1,2158.567,19.667
5,UMTS 3G_B2,1941.233,19.667
6,UMTS 3G_B2,1959.9,19.667
7,UMTS 3G_B2,1978.567,19.667
8,GSM 1900,1939.767,21.133
9,GSM 1900,1959.9,21.133
10,GSM 1900,1980.033,21.133
11,UMTS 3G_B8,594.65,16.5
12,UMTS 3G_B8,610.15,16.5
13,GSM 1800,1814.125,19.85
14,GSM 1800,1832.975,19.85
15,GSM 1800,1851.825,19.85
16,GSM 1800,1870.675,19.85
17,GSM 900_2,929.9,11.4
18,GSM 900_1,736.1,13.8
19,GSM 900_1,748.9,13.8
20,GSM 850,875.05,13.7
21,GSM 850,887.75,13.7
22,UMTS 3G_B19,147.4,12.0
